الأبواب,العنوان الأول,,,,,,جملة العنوان الأول,العنوان الثاني,,,,,,جملة العنوان الثاني,جملة الجزء الأول: نفقات التصرف,الجزء الثاني: فوائد الدين العمومي,جملة الجزء الثالث: نفقات التنمية,الجزء الرابع: تسديد أصل الدين المومي,الجزء الخامس,المجموع العام
,الجزء الأول : نفقات التصرف,,,,جملة الجزء الأول,الجزء الثاني,,الجزء الثالث: نفقات التنمية,,,,جملة الجزء الثالث,الجزء الرابع,,,,,,,
,القسم الأول: التأجير العمومي,القسم الثاني. وسائل المصالح,القسم الثالث: التدخل العمومي,القسم الرابع: نفقات التصرف الطارئة,,القسم الخامس فوائد الدين العمومي,,القسم السادس: الاستثمارات المباشرة,القسم السابع: التمويل العمومي,القسم الثامن: نفقات التنمية الطارئة,القسم التاسع: نفقات التنمية المرتبطة بالموارد الخارجية الموظفة,,القسم العاشر: تسديد أصل الدين العمومي,,,,,,القسم الحادي عشر: الحسابات الخاصة في الخزينة,
مجلس نواب الشعب,23856000,3161000,1064000,,28081000,,28081000,1365000,,,,1365000,,1365000,28081000,,1365000,,,29446000
رئاسة الجمهورية,77342000,19602000,5904000,,102848000,,102848000,4905000,760000,,,5665000,,5665000,102848000,,5665000,,,108513000
رئاسة الحكومة,81644000,7563000,27082000,,116289000,,116289000,1277000,2857000,,,4134000,,4134000,116289000,,4134000,,2000000,122423000
وزارة الوظيفة العمومية و الحوكمة,18725000,3134000,2852000,,24711000,,24711000,228000,,,,228000,,228000,24711000,,228000,,,24939000
وزارة العلاقة مع الهيئات الدستورية و المجتمع المدني و حقوق الإنسان,1147000,2068000,89000,,3304000,,3304000,78000,47000,,,125000,,125000,3304000,,125000,,,3429000
وزارة الداخلية,2059221000,214328000,24602000,,2298151000,,2298151000,222105000,26700000,,,248805000,,248805000,2298151000,,248805000,,10200000,2557156000
وزارة الشؤون المحلية و البيئة,45034000,8610000,423150000,,476794000,,476794000,8550000,229239000,,2000000,239789000,,239789000,476794000,,239789000,,124000000,840583000
وزارة العدل,404472000,61154000,8179000,,473805000,,473805000,68000000,250000,,,68250000,,68250000,473805000,,68250000,,,542055000
وزارة الشؤون الخارجية,110774000,58144000,21421000,,190339000,,190339000,7561000,,,,7561000,,7561000,190339000,,7561000,,,197900000
وزارة الدفاع الوطني,1477224000,141141000,23787000,,1642152000,,1642152000,359300000,4700000,,,364000000,,364000000,1642152000,,364000000,,10000000,2016152000
وزارة الشؤون الدينية,73749000,14237000,9996000,,97982000,,97982000,1820000,,,,1820000,,1820000,97982000,,1820000,,,99802000
وزارة المالية,589490000,45901000,7795000,,643186000,,643186000,46682000,102000000,,,148682000,,148682000,643186000,,148682000,,15100000,806968000
وزارة التنمية و الإستثمار و التعاون الدولي,51331000,9420000,1602000,,62353000,,62353000,500000,462131000,,10000000,472631000,,472631000,62353000,,472631000,,,534984000
وزارة الفلاحة و الموارد المائية و الصيد البحري,493249000,32166000,16214000,,541629000,,541629000,347838000,234606000,,176687000,759131000,,759131000,541629000,,759131000,,42500000,1343260000
وزارة الصناعة و التجارة,47350000,8530000,1620880000,,1676760000,,1676760000,16210000,65416000,,4663000,86289000,,86289000,1676760000,,86289000,,77500000,1840549000
وزارة الطاقة و المناجم و الطاقات المتجددة,13420000,3167000,650266000,,666853000,,666853000,574000,3031000,,,3605000,,3605000,666853000,,3605000,,30000000,700458000
وزارة تكنولوجيات الإتصال و الإقتصاد الرقمي,14963000,2825000,2029000,,19817000,,19817000,17325000,,,,17325000,,17325000,19817000,,17325000,,90000000,127142000
وزارة السياحة و الصناعات التقليدية,48371000,9868000,488000,,58727000,,58727000,465000,67536000,,,68001000,,68001000,58727000,,68001000,,20000000,146728000
وزارة التجهيز و الغسكان و التهيئة الترابية,95118000,54678000,2969000,,152765000,,152765000,793335000,208300000,,419000000,1420635000,,1420635000,152765000,,1420635000,,68000000,1641400000
وزارة النقل,15621000,3073000,450759000,,469453000,,469453000,1515000,167485000,,13000000,182000000,,182000000,469453000,,182000000,,,651453000
وزارة الشؤون الثقافية,129599000,10524000,40727000,,180850000,,180850000,66468000,6332000,,,72800000,,72800000,180850000,,72800000,,4000000,257650000
وزارة شؤون الشباب و الرياضة,398611000,15240000,39844000,,453695000,,453695000,71346000,2000000,,,73346000,,73346000,453695000,,73346000,,20000000,547041000
وزارة المرأة و الأسرة و الطفولة,91159000,7358000,17558000,,116075000,,116075000,17960000,240000,,,18200000,,18200000,116075000,,18200000,,,134275000
وزارة الصحة,1440000000,122402000,5792000,,1568194000,,1568194000,135727000,37423000,,,173150000,,173150000,1568194000,,173150000,,1000000,1742344000
وزارة الشؤون الإجتماعية,152732000,13372000,1203131000,,1369235000,,1369235000,9790000,41721000,,,51511000,,51511000,1369235000,,51511000,,7000000,1427746000
وزارة التربية,4520965000,100044000,38753000,,4659762000,,4659762000,193497000,200000,,8500000,202197000,,202197000,4659762000,,202197000,,,4861959000
وزارة التعليم العالي و البحث العلمي,954000000,87184000,189619000,,1230803000,,1230803000,111330000,1719000,,18000000,131049000,,131049000,1230803000,,131049000,,,1361852000
وزارة التكوين المهني و التشغيل,270833000,27491000,2209000,,300533000,,300533000,1547000,11953000,,21503000,35003000,,35003000,300533000,,35003000,,367000000,702536000
المجلس الاعلى للقضاء,,,1447000,,1447000,,1447000,,268000,,,268000,,268000,1447000,,268000,,,1715000
المحكمة الدستورية,,,2400000,,2400000,,2400000,,1622000,,,1622000,,1622000,2400000,,1622000,,,4022000
الهيئة العليا المستقلة للإنتخابات,,,60000000,,60000000,,60000000,,7280000,,,7280000,,7280000,60000000,,7280000,,,67280000
هيئة الحقيقة و الكرامة,,,10000000,,10000000,,10000000,,910000,,,910000,,910000,10000000,,910000,,,10910000
النفقات الطارئة و غير الموزعة,,,,366207000,366207000,,366207000,,,554123000,,554123000,,554123000,366207000,,554123000,,,920330000
الدين العمومي,,,,,,2215000000,2215000000,,,,,,3610000000,3610000000,,2215000000,,,,5825000000
الجملة,13700000000,1086385000,4912608000,366207000,20065200000,2215000000,22280200000,2507298000,1686726000,554123000,673353000,5421500000,3610000000,9031500000,20065200000,2215000000,5421500000,3610000000,,32200000000
,13700000000,1086385000,4912608000,366207000,20065200000,2215000000,22280200000,2507298000,1686726000,554123000,673353000,5421500000,3610000000,9031500000,20065200000,2215000000,5421500000,3610000000,888300000,32200000000
